Alpha_Node,Total_Support
NEK7,359
RPP25,363
PDE4DIP,331
HNRPK,403
RBM15B,363
NRBP,255
GNGT2,359
POLA,775
MLL,423
BAZ2B,361
STXBP2,353
MKNK2,445
DAB1,345
TLX1,361
EPHA3,353
NSF,349
CHD4,359
RTKN,355
PTDSR,359
NACA,351
BIRC1,359
ARHGAP29,425
MAN2A2,447
TOE1,387
ACTR1A,359
GLUD2,369
TCEA2,411
MMP15,343
GLI3,111
SCN5A,359
PIK3R1,197
MAPKAPK3,313
DMRTB1,241
PAK4,347
SERPINB6,359
ICMT,351
RPL15,821
SET,249
AFF4,389
BIRC4,361
CBR1,363
ZNF679,395
C20orf77,367
BIRC7,315
MXD1,453
GZMA,359
IDH1,353
SERPINB2,285
PAPSS1,477
NOLC1,363
IQGAP2,361
PITPNB,361
LAIR1,409
AVPR2,357
STUB1,335
SH3YL1,335
STARD9,407
ATP5B,445
HFE2,377
TNFRSF19,403
BCL6,199
SEC23B,367
UQCRC1,377
CYB5R2,355
NOL11,357
BRD1,337
MCM4,347
CYP19A1,361
LPPR4,365
SHFM1,375
MAPKAPK5,343
SMAD6,447
BDNF,359
PSMC1,429
ATP6V1G2,361
WDR18,359
TCEB1,367
DUSP1,311
KLF12,357
GPSM1,357
NEK2,359
USF1,359
COG2,359
GCNT1,361
RBP4,363
STK35,355
STX4A,377
ATXN2,357
CNKSR1,267
HPCAL1,355
HES1,383
EPHB1,605
CCL18,823
SPPL2A,365
DBNL,385
NUMA1,359
TRIB3,363
ZNF434,363
ATPAF2,377
MYOM1,361
MS4A1,309
FBN2,33
TNF,377
APBA2,279
KLK1,361
ITPKB,381
SLC2A3,365
BMPR2,347
TSC1,283
PPAP2C,341
TSPAN4,355
SYT5,375
SEMG2,381
TDGF1,373
UBE2E2,369
CDKN2D,355
RECQL5,329
FAM63A,357
BNIP2,377
P2RXL1,327
SFRS4,379
IL18BP,359
RALGDS,339
ETHE1,309
PCBP2,313
NALP1,355
MGMT,449
LCN1,361
COPS5,-13
ZNF350,305
GDI1,361
NUTF2,371
RYR3,357
AXIN2,365
ITPR2,359
ARSE,369
AASS,797
RAP2A,355
KIAA1679,373
YWHAZ,719
GADD45G,447
F8,333
BAG2,381
BAT1,401
FLJ32214,439
IL2,355
EPHA5,369
CBWD5,357
FLJ23584,41
SRPK2,375
CPLX2,355
APBB1,301
FCGR2B,391
PARP1,809
PRKAR1A,139
RNF11,377
KIR2DL2,359
DFFA,167
TCL1A,361
LAMC2,361
ST5,113
PTAFR,361
DEAF1,359
PITPNM1,403
